id,input_word,correct_word,reversal_type
166,pat,tap,full_reversal
167,was,saw,full_reversal
168,saw,was,full_reversal
169,dog,god,full_reversal
170,dog,god,full_reversal
171,reward,drawer,full_reversal
172,no,on,full_reversal
173,saw,was,full_reversal
174,dog,god,full_reversal
175,pool,loop,full_reversal
176,stpe,step,internal_reversal
177,was,saw,full_reversal
178,pest,pets,internal_reversal
179,drawer,reward,full_reversal
180,no,on,full_reversal
181,loop,pool,full_reversal
182,was,saw,full_reversal
183,pets,step,full_reversal
184,dog,god,full_reversal
185,drawre,drawer,internal_reversal
186,pat,tap,full_reversal
187,polo,pool,internal_reversal
188,god,dog,full_reversal
189,lopo,loop,internal_reversal
190,pets,step,full_reversal
191,lopo,loop,internal_reversal
192,pets,step,full_reversal
193,god,dog,full_reversal
194,on,no,full_reversal
195,stpe,step,internal_reversal
196,setp,step,internal_reversal
197,pool,loop,full_reversal
198,god,dog,full_reversal
199,rewadr,reward,internal_reversal
200,tap,pat,full_reversal
201,pool,loop,full_reversal
202,drawer,reward,full_reversal
203,pool,loop,full_reversal
204,ptes,pets,internal_reversal
205,no,on,full_reversal
206,on,no,full_reversal
207,step,pets,full_reversal
208,tap,pat,full_reversal
209,loop,pool,full_reversal
210,dog,god,full_reversal
211,loop,pool,full_reversal
212,pat,tap,full_reversal
213,reward,drawer,full_reversal
214,no,on,full_reversal
215,god,dog,full_reversal
216,dog,god,full_reversal
217,saw,was,full_reversal
218,step,pets,full_reversal
219,pat,tap,full_reversal
220,drawer,reward,full_reversal
221,reward,drawer,full_reversal
222,polo,pool,internal_reversal
223,step,pets,full_reversal
224,lopo,loop,internal_reversal
225,setp,step,internal_reversal
226,drwaer,drawer,internal_reversal
227,setp,step,internal_reversal
228,pool,loop,full_reversal
229,was,saw,full_reversal
230,was,saw,full_reversal
231,tap,pat,full_reversal
232,pat,tap,full_reversal
233,no,on,full_reversal
234,on,no,full_reversal
235,ptes,pets,internal_reversal
236,polo,pool,internal_reversal
237,was,saw,full_reversal
238,rweard,reward,internal_reversal
239,reward,drawer,full_reversal
240,god,dog,full_reversal
241,saw,was,full_reversal
242,polo,pool,internal_reversal
243,saw,was,full_reversal
244,loop,pool,full_reversal
245,pat,tap,full_reversal
246,drawre,drawer,internal_reversal
247,pool,loop,full_reversal
248,reward,drawer,full_reversal
249,tap,pat,full_reversal
250,lopo,loop,internal_reversal
251,god,dog,full_reversal
252,dog,god,full_reversal
253,pets,step,full_reversal
254,saw,was,full_reversal
255,on,no,full_reversal
256,dog,god,full_reversal
257,tap,pat,full_reversal
258,ptes,pets,internal_reversal
259,god,dog,full_reversal
260,tap,pat,full_reversal
261,reward,drawer,full_reversal
262,ptes,pets,internal_reversal
263,saw,was,full_reversal
264,stpe,step,internal_reversal
265,pool,loop,full_reversal
266,rewadr,reward,internal_reversal
267,was,saw,full_reversal
268,draewr,drawer,internal_reversal
269,was,saw,full_reversal
270,was,saw,full_reversal
271,loop,pool,full_reversal
272,pest,pets,internal_reversal
273,drawer,reward,full_reversal
274,saw,was,full_reversal
275,reward,drawer,full_reversal
276,saw,was,full_reversal
277,pets,step,full_reversal
278,pool,loop,full_reversal
279,drwaer,drawer,internal_reversal
280,no,on,full_reversal
281,pets,step,full_reversal
282,setp,step,internal_reversal
283,dog,god,full_reversal
284,was,saw,full_reversal
285,was,saw,full_reversal
286,tap,pat,full_reversal
287,polo,pool,internal_reversal
288,reward,drawer,full_reversal
289,reawrd,reward,internal_reversal
290,lopo,loop,internal_reversal
291,dog,god,full_reversal
292,reward,drawer,full_reversal
293,step,pets,full_reversal
294,loop,pool,full_reversal
295,loop,pool,full_reversal
296,reward,drawer,full_reversal
297,saw,was,full_reversal
298,stpe,step,internal_reversal
299,no,on,full_reversal
300,lopo,loop,internal_reversal
301,on,no,full_reversal
302,rewrad,reward,internal_reversal
303,dog,god,full_reversal
304,dog,god,full_reversal
305,pest,pets,internal_reversal
306,ptes,pets,internal_reversal
307,polo,pool,internal_reversal
308,ptes,pets,internal_reversal
309,lopo,loop,internal_reversal
310,pets,step,full_reversal
311,on,no,full_reversal
312,dog,god,full_reversal
313,dog,god,full_reversal
314,step,pets,full_reversal
315,pool,loop,full_reversal
316,on,no,full_reversal
317,pool,loop,full_reversal
318,ptes,pets,internal_reversal
319,pets,step,full_reversal
320,step,pets,full_reversal
321,step,pets,full_reversal
322,pat,tap,full_reversal
323,drawre,drawer,internal_reversal
324,god,dog,full_reversal
325,no,on,full_reversal
326,tap,pat,full_reversal
327,dog,god,full_reversal
328,pets,step,full_reversal
329,pool,loop,full_reversal
330,was,saw,full_reversal
331,dog,god,full_reversal
332,rewrad,reward,internal_reversal
333,reward,drawer,full_reversal
334,dog,god,full_reversal
335,pat,tap,full_reversal
336,drawre,drawer,internal_reversal
337,pets,step,full_reversal
338,drawre,drawer,internal_reversal
339,saw,was,full_reversal
340,no,on,full_reversal
341,pool,loop,full_reversal
342,saw,was,full_reversal
343,loop,pool,full_reversal
344,pets,step,full_reversal
345,pets,step,full_reversal
346,loop,pool,full_reversal
347,pat,tap,full_reversal
348,lopo,loop,internal_reversal
349,stpe,step,internal_reversal
350,lopo,loop,internal_reversal
351,drawre,drawer,internal_reversal
352,saw,was,full_reversal
353,was,saw,full_reversal
354,setp,step,internal_reversal
355,step,pets,full_reversal
356,no,on,full_reversal
357,was,saw,full_reversal
358,was,saw,full_reversal
359,pest,pets,internal_reversal
360,tap,pat,full_reversal
361,was,saw,full_reversal
362,tap,pat,full_reversal
363,step,pets,full_reversal
364,reward,drawer,full_reversal
365,god,dog,full_reversal
366,reward,drawer,full_reversal
367,saw,was,full_reversal
368,step,pets,full_reversal
369,god,dog,full_reversal
370,no,on,full_reversal
371,reward,drawer,full_reversal
372,on,no,full_reversal
373,reward,drawer,full_reversal
374,pets,step,full_reversal
375,no,on,full_reversal
376,drawer,reward,full_reversal
377,reward,drawer,full_reversal
378,step,pets,full_reversal
379,pets,step,full_reversal
380,no,on,full_reversal
381,setp,step,internal_reversal
382,ptes,pets,internal_reversal
383,lopo,loop,internal_reversal
384,lopo,loop,internal_reversal
385,was,saw,full_reversal
386,tap,pat,full_reversal
387,drawer,reward,full_reversal
388,on,no,full_reversal
389,no,on,full_reversal
390,dog,god,full_reversal
391,drawre,drawer,internal_reversal
392,polo,pool,internal_reversal
393,was,saw,full_reversal
394,saw,was,full_reversal
395,pat,tap,full_reversal
396,ptes,pets,internal_reversal
397,loop,pool,full_reversal
398,dog,god,full_reversal
399,rweard,reward,internal_reversal
400,drawer,reward,full_reversal
401,was,saw,full_reversal
402,saw,was,full_reversal
403,on,no,full_reversal
404,saw,was,full_reversal
405,no,on,full_reversal
406,loop,pool,full_reversal
407,polo,pool,internal_reversal
408,loop,pool,full_reversal
409,pest,pets,internal_reversal
410,lopo,loop,internal_reversal
411,lopo,loop,internal_reversal
412,tap,pat,full_reversal
413,god,dog,full_reversal
414,rweard,reward,internal_reversal
415,saw,was,full_reversal
416,pat,tap,full_reversal
417,on,no,full_reversal
418,drwaer,drawer,internal_reversal
419,tap,pat,full_reversal
420,stpe,step,internal_reversal
421,god,dog,full_reversal
422,rewadr,reward,internal_reversal
423,pets,step,full_reversal
424,no,on,full_reversal
425,loop,pool,full_reversal
426,pat,tap,full_reversal
427,stpe,step,internal_reversal
428,pets,step,full_reversal
429,pets,step,full_reversal
430,no,on,full_reversal
431,no,on,full_reversal
432,no,on,full_reversal
433,pool,loop,full_reversal
434,saw,was,full_reversal
435,god,dog,full_reversal
436,setp,step,internal_reversal
437,no,on,full_reversal
438,step,pets,full_reversal
439,setp,step,internal_reversal
440,pets,step,full_reversal
441,pool,loop,full_reversal
442,on,no,full_reversal
443,step,pets,full_reversal
444,loop,pool,full_reversal
445,stpe,step,internal_reversal
446,loop,pool,full_reversal
447,reward,drawer,full_reversal
448,pets,step,full_reversal
449,step,pets,full_reversal
450,pets,step,full_reversal
451,god,dog,full_reversal
452,god,dog,full_reversal
453,drawer,reward,full_reversal
454,on,no,full_reversal
455,drawer,reward,full_reversal
456,drawer,reward,full_reversal
457,loop,pool,full_reversal
458,reward,drawer,full_reversal
459,pool,loop,full_reversal
460,draewr,drawer,internal_reversal
461,tap,pat,full_reversal
462,god,dog,full_reversal
463,reward,drawer,full_reversal
464,setp,step,internal_reversal
465,reward,drawer,full_reversal
466,was,saw,full_reversal
467,dog,god,full_reversal
468,was,saw,full_reversal
469,saw,was,full_reversal
470,pat,tap,full_reversal
471,god,dog,full_reversal
472,pat,tap,full_reversal
473,loop,pool,full_reversal
474,no,on,full_reversal
475,on,no,full_reversal
476,on,no,full_reversal
477,pest,pets,internal_reversal
478,dog,god,full_reversal
479,stpe,step,internal_reversal
480,dog,god,full_reversal
481,dog,god,full_reversal
482,draewr,drawer,internal_reversal
483,tap,pat,full_reversal
484,step,pets,full_reversal
485,no,on,full_reversal
486,was,saw,full_reversal
487,drawer,reward,full_reversal
488,drawre,drawer,internal_reversal
489,dog,god,full_reversal
490,reawrd,reward,internal_reversal
491,ptes,pets,internal_reversal
492,draewr,drawer,internal_reversal
493,polo,pool,internal_reversal
494,pool,loop,full_reversal
495,rewadr,reward,internal_reversal
496,loop,pool,full_reversal
497,pool,loop,full_reversal
498,dog,god,full_reversal
499,stpe,step,internal_reversal
500,no,on,full_reversal
501,pets,step,full_reversal
502,god,dog,full_reversal
503,step,pets,full_reversal
504,loop,pool,full_reversal
505,ptes,pets,internal_reversal
506,no,on,full_reversal
507,no,on,full_reversal
508,reward,drawer,full_reversal
509,darwer,drawer,internal_reversal
510,reawrd,reward,internal_reversal
511,drawer,reward,full_reversal
512,stpe,step,internal_reversal
513,saw,was,full_reversal
514,polo,pool,internal_reversal
515,step,pets,full_reversal
516,reward,drawer,full_reversal
517,rewrad,reward,internal_reversal
518,pool,loop,full_reversal
519,draewr,drawer,internal_reversal
520,pool,loop,full_reversal
521,loop,pool,full_reversal
522,pat,tap,full_reversal
523,god,dog,full_reversal
524,loop,pool,full_reversal
525,dog,god,full_reversal
526,drawer,reward,full_reversal
527,no,on,full_reversal
528,saw,was,full_reversal
529,pool,loop,full_reversal
530,pest,pets,internal_reversal
531,step,pets,full_reversal
532,no,on,full_reversal
533,drawer,reward,full_reversal
534,pat,tap,full_reversal
535,was,saw,full_reversal
536,saw,was,full_reversal
537,pest,pets,internal_reversal
538,rewrad,reward,internal_reversal
539,polo,pool,internal_reversal
540,no,on,full_reversal
541,reward,drawer,full_reversal
542,drawer,reward,full_reversal
543,pat,tap,full_reversal
544,no,on,full_reversal
545,on,no,full_reversal
546,ptes,pets,internal_reversal
547,step,pets,full_reversal
548,loop,pool,full_reversal
549,step,pets,full_reversal
550,tap,pat,full_reversal
551,loop,pool,full_reversal
552,drawer,reward,full_reversal
553,loop,pool,full_reversal
554,drawer,reward,full_reversal
555,step,pets,full_reversal
556,on,no,full_reversal
557,pest,pets,internal_reversal
558,polo,pool,internal_reversal
559,pest,pets,internal_reversal
560,step,pets,full_reversal
561,saw,was,full_reversal
562,no,on,full_reversal
563,dog,god,full_reversal
564,step,pets,full_reversal
565,loop,pool,full_reversal
566,god,dog,full_reversal
567,dog,god,full_reversal
568,loop,pool,full_reversal
569,pat,tap,full_reversal
570,stpe,step,internal_reversal
571,god,dog,full_reversal
572,was,saw,full_reversal
573,rweard,reward,internal_reversal
574,pets,step,full_reversal
575,ptes,pets,internal_reversal
576,pat,tap,full_reversal
577,pat,tap,full_reversal
578,step,pets,full_reversal
579,lopo,loop,internal_reversal
580,tap,pat,full_reversal
581,saw,was,full_reversal
582,loop,pool,full_reversal
583,saw,was,full_reversal
584,stpe,step,internal_reversal
585,on,no,full_reversal
586,reward,drawer,full_reversal
587,pool,loop,full_reversal
588,pets,step,full_reversal
589,darwer,drawer,internal_reversal
590,setp,step,internal_reversal
591,pets,step,full_reversal
592,dog,god,full_reversal
593,was,saw,full_reversal
594,on,no,full_reversal
595,drawer,reward,full_reversal
596,pets,step,full_reversal
597,pets,step,full_reversal
598,god,dog,full_reversal
599,lopo,loop,internal_reversal
600,pest,pets,internal_reversal
601,reward,drawer,full_reversal
602,ptes,pets,internal_reversal
603,no,on,full_reversal
604,was,saw,full_reversal
605,reward,drawer,full_reversal
606,drawer,reward,full_reversal
607,saw,was,full_reversal
608,pool,loop,full_reversal
609,reward,drawer,full_reversal
610,saw,was,full_reversal
611,darwer,drawer,internal_reversal
612,reward,drawer,full_reversal
613,saw,was,full_reversal
614,pat,tap,full_reversal
615,pets,step,full_reversal
616,saw,was,full_reversal
617,pest,pets,internal_reversal
618,pets,step,full_reversal
619,tap,pat,full_reversal
620,pest,pets,internal_reversal
621,drawer,reward,full_reversal
622,pat,tap,full_reversal
623,pets,step,full_reversal
624,no,on,full_reversal
625,saw,was,full_reversal
626,on,no,full_reversal
627,reawrd,reward,internal_reversal
628,dog,god,full_reversal
629,loop,pool,full_reversal
630,step,pets,full_reversal
631,ptes,pets,internal_reversal
632,draewr,drawer,internal_reversal
633,drawer,reward,full_reversal
634,was,saw,full_reversal
635,pat,tap,full_reversal
636,was,saw,full_reversal
637,no,on,full_reversal
638,loop,pool,full_reversal
639,pets,step,full_reversal
640,pat,tap,full_reversal
641,rewadr,reward,internal_reversal
642,reawrd,reward,internal_reversal
643,stpe,step,internal_reversal
644,drawer,reward,full_reversal
645,pool,loop,full_reversal
646,tap,pat,full_reversal
647,ptes,pets,internal_reversal
648,god,dog,full_reversal
649,reward,drawer,full_reversal
650,pool,loop,full_reversal
651,pool,loop,full_reversal
652,god,dog,full_reversal
653,dog,god,full_reversal
654,tap,pat,full_reversal
655,was,saw,full_reversal
656,on,no,full_reversal
657,pets,step,full_reversal
658,on,no,full_reversal
659,rweard,reward,internal_reversal
660,pest,pets,internal_reversal
661,on,no,full_reversal
662,tap,pat,full_reversal
663,rewrad,reward,internal_reversal
664,loop,pool,full_reversal
665,pest,pets,internal_reversal
666,pat,tap,full_reversal
667,saw,was,full_reversal
668,setp,step,internal_reversal
669,polo,pool,internal_reversal
670,dog,god,full_reversal
671,on,no,full_reversal
672,ptes,pets,internal_reversal
673,pool,loop,full_reversal
674,no,on,full_reversal
675,on,no,full_reversal
676,loop,pool,full_reversal
677,no,on,full_reversal
678,saw,was,full_reversal
679,was,saw,full_reversal
680,tap,pat,full_reversal
681,on,no,full_reversal
682,no,on,full_reversal
683,god,dog,full_reversal
684,setp,step,internal_reversal
685,step,pets,full_reversal
686,pest,pets,internal_reversal
687,dog,god,full_reversal
688,god,dog,full_reversal
689,lopo,loop,internal_reversal
690,no,on,full_reversal
691,god,dog,full_reversal
692,dog,god,full_reversal
693,tap,pat,full_reversal
694,stpe,step,internal_reversal
695,no,on,full_reversal
696,no,on,full_reversal
697,tap,pat,full_reversal
698,pat,tap,full_reversal
699,draewr,drawer,internal_reversal
700,rweard,reward,internal_reversal
701,stpe,step,internal_reversal
702,step,pets,full_reversal
703,no,on,full_reversal
704,rweard,reward,internal_reversal
705,drawer,reward,full_reversal
706,was,saw,full_reversal
707,saw,was,full_reversal
708,reawrd,reward,internal_reversal
709,reward,drawer,full_reversal
710,drawre,drawer,internal_reversal
711,drwaer,drawer,internal_reversal
712,loop,pool,full_reversal
713,saw,was,full_reversal
714,no,on,full_reversal
715,rewadr,reward,internal_reversal
716,dog,god,full_reversal
717,draewr,drawer,internal_reversal
718,on,no,full_reversal
719,drawre,drawer,internal_reversal
720,god,dog,full_reversal
721,loop,pool,full_reversal
722,loop,pool,full_reversal
723,step,pets,full_reversal
724,ptes,pets,internal_reversal
725,pool,loop,full_reversal
726,no,on,full_reversal
727,saw,was,full_reversal
728,dog,god,full_reversal
729,lopo,loop,internal_reversal
730,pat,tap,full_reversal
731,drawer,reward,full_reversal
732,setp,step,internal_reversal
733,saw,was,full_reversal
734,rewadr,reward,internal_reversal
735,pat,tap,full_reversal
736,lopo,loop,internal_reversal
737,dog,god,full_reversal
738,saw,was,full_reversal
739,was,saw,full_reversal
740,tap,pat,full_reversal
741,step,pets,full_reversal
742,ptes,pets,internal_reversal
743,reward,drawer,full_reversal
744,pat,tap,full_reversal
745,loop,pool,full_reversal
746,was,saw,full_reversal
747,reward,drawer,full_reversal
748,step,pets,full_reversal
749,was,saw,full_reversal
750,no,on,full_reversal
751,tap,pat,full_reversal
752,pets,step,full_reversal
753,tap,pat,full_reversal
754,pat,tap,full_reversal
755,dog,god,full_reversal
756,pool,loop,full_reversal
757,saw,was,full_reversal
758,pat,tap,full_reversal
759,was,saw,full_reversal
760,dog,god,full_reversal
761,rewadr,reward,internal_reversal
762,dog,god,full_reversal
763,tap,pat,full_reversal
764,god,dog,full_reversal
765,drawre,drawer,internal_reversal
766,lopo,loop,internal_reversal
767,pool,loop,full_reversal
768,saw,was,full_reversal
769,ptes,pets,internal_reversal
770,god,dog,full_reversal
771,drawre,drawer,internal_reversal
772,saw,was,full_reversal
773,saw,was,full_reversal
774,tap,pat,full_reversal
775,pest,pets,internal_reversal
776,pat,tap,full_reversal
777,pets,step,full_reversal
778,pets,step,full_reversal
779,saw,was,full_reversal
780,drwaer,drawer,internal_reversal
781,step,pets,full_reversal
782,no,on,full_reversal
783,reawrd,reward,internal_reversal
784,no,on,full_reversal
785,pets,step,full_reversal
786,was,saw,full_reversal
787,saw,was,full_reversal
788,dog,god,full_reversal
789,setp,step,internal_reversal
790,draewr,drawer,internal_reversal
791,was,saw,full_reversal
792,god,dog,full_reversal
793,dog,god,full_reversal
794,draewr,drawer,internal_reversal
795,pets,step,full_reversal
796,pets,step,full_reversal
797,saw,was,full_reversal
798,god,dog,full_reversal
799,loop,pool,full_reversal
800,rweard,reward,internal_reversal
801,loop,pool,full_reversal
802,step,pets,full_reversal
803,no,on,full_reversal
804,loop,pool,full_reversal
805,tap,pat,full_reversal
806,setp,step,internal_reversal
807,on,no,full_reversal
808,god,dog,full_reversal
809,dog,god,full_reversal
810,ptes,pets,internal_reversal
811,drawer,reward,full_reversal
812,darwer,drawer,internal_reversal
813,drawer,reward,full_reversal
814,pool,loop,full_reversal
815,reward,drawer,full_reversal
816,dog,god,full_reversal
817,was,saw,full_reversal
818,setp,step,internal_reversal
819,loop,pool,full_reversal
820,pat,tap,full_reversal
821,drwaer,drawer,internal_reversal
822,step,pets,full_reversal
823,saw,was,full_reversal
824,drawer,reward,full_reversal
825,pets,step,full_reversal
826,drwaer,drawer,internal_reversal
827,dog,god,full_reversal
828,saw,was,full_reversal
829,pool,loop,full_reversal
830,polo,pool,internal_reversal
831,god,dog,full_reversal
832,loop,pool,full_reversal
833,reward,drawer,full_reversal
834,lopo,loop,internal_reversal
835,pat,tap,full_reversal
836,loop,pool,full_reversal
837,dog,god,full_reversal
838,rewadr,reward,internal_reversal
839,god,dog,full_reversal
840,tap,pat,full_reversal
841,reward,drawer,full_reversal
842,lopo,loop,internal_reversal
843,tap,pat,full_reversal
844,darwer,drawer,internal_reversal
845,pest,pets,internal_reversal
846,tap,pat,full_reversal
847,drawer,reward,full_reversal
848,drawer,reward,full_reversal
849,pool,loop,full_reversal
850,was,saw,full_reversal
851,ptes,pets,internal_reversal
852,pat,tap,full_reversal
853,pat,tap,full_reversal
854,pat,tap,full_reversal
855,rewrad,reward,internal_reversal
856,lopo,loop,internal_reversal
857,polo,pool,internal_reversal
858,on,no,full_reversal
859,rweard,reward,internal_reversal
860,drawer,reward,full_reversal
861,reward,drawer,full_reversal
862,no,on,full_reversal
863,reward,drawer,full_reversal
864,reward,drawer,full_reversal
865,on,no,full_reversal
866,on,no,full_reversal
867,drawer,reward,full_reversal
868,loop,pool,full_reversal
869,on,no,full_reversal
870,saw,was,full_reversal
871,god,dog,full_reversal
872,saw,was,full_reversal
873,pool,loop,full_reversal
874,setp,step,internal_reversal
875,pest,pets,internal_reversal
876,ptes,pets,internal_reversal
877,dog,god,full_reversal
878,saw,was,full_reversal
879,drawer,reward,full_reversal
880,reward,drawer,full_reversal
881,saw,was,full_reversal
882,darwer,drawer,internal_reversal
883,pets,step,full_reversal
884,no,on,full_reversal
885,god,dog,full_reversal
886,no,on,full_reversal
887,rewadr,reward,internal_reversal
888,ptes,pets,internal_reversal
889,pest,pets,internal_reversal
890,stpe,step,internal_reversal
891,polo,pool,internal_reversal
892,on,no,full_reversal
893,pets,step,full_reversal
894,reawrd,reward,internal_reversal
895,no,on,full_reversal
896,drawer,reward,full_reversal
897,saw,was,full_reversal
898,was,saw,full_reversal
899,step,pets,full_reversal
900,drawer,reward,full_reversal
901,on,no,full_reversal
902,reward,drawer,full_reversal
903,reward,drawer,full_reversal
904,reawrd,reward,internal_reversal
905,was,saw,full_reversal
906,pool,loop,full_reversal
907,drwaer,drawer,internal_reversal
908,pat,tap,full_reversal
909,drawer,reward,full_reversal
910,reward,drawer,full_reversal
911,dog,god,full_reversal
912,god,dog,full_reversal
913,drwaer,drawer,internal_reversal
914,god,dog,full_reversal
915,god,dog,full_reversal
916,loop,pool,full_reversal
917,pat,tap,full_reversal
918,on,no,full_reversal
919,pat,tap,full_reversal
920,on,no,full_reversal
921,tap,pat,full_reversal
922,polo,pool,internal_reversal
923,loop,pool,full_reversal
924,rewrad,reward,internal_reversal
925,was,saw,full_reversal
926,setp,step,internal_reversal
927,rewrad,reward,internal_reversal
928,pat,tap,full_reversal
929,stpe,step,internal_reversal
930,drawer,reward,full_reversal
931,pets,step,full_reversal
932,loop,pool,full_reversal
933,reward,drawer,full_reversal
934,tap,pat,full_reversal
935,on,no,full_reversal
936,drawer,reward,full_reversal
937,drwaer,drawer,internal_reversal
938,reward,drawer,full_reversal
939,on,no,full_reversal
940,drawre,drawer,internal_reversal
941,tap,pat,full_reversal
942,stpe,step,internal_reversal
943,pool,loop,full_reversal
944,on,no,full_reversal
945,god,dog,full_reversal
946,drawer,reward,full_reversal
947,darwer,drawer,internal_reversal
948,reward,drawer,full_reversal
949,lopo,loop,internal_reversal
950,reward,drawer,full_reversal
951,drawer,reward,full_reversal
952,ptes,pets,internal_reversal
953,polo,pool,internal_reversal
954,tap,pat,full_reversal
955,reward,drawer,full_reversal
956,was,saw,full_reversal
957,no,on,full_reversal
958,on,no,full_reversal
959,dog,god,full_reversal
960,polo,pool,internal_reversal
961,pool,loop,full_reversal
962,ptes,pets,internal_reversal
963,loop,pool,full_reversal
964,ptes,pets,internal_reversal
965,rewrad,reward,internal_reversal
966,pat,tap,full_reversal
967,step,pets,full_reversal
968,loop,pool,full_reversal
969,pool,loop,full_reversal
970,lopo,loop,internal_reversal
971,dog,god,full_reversal
972,step,pets,full_reversal
973,loop,pool,full_reversal
974,reward,drawer,full_reversal
975,setp,step,internal_reversal
976,on,no,full_reversal
977,dog,god,full_reversal
978,pest,pets,internal_reversal
979,was,saw,full_reversal
980,no,on,full_reversal
981,step,pets,full_reversal
982,stpe,step,internal_reversal
983,no,on,full_reversal
984,setp,step,internal_reversal
985,pest,pets,internal_reversal
986,pat,tap,full_reversal
987,dog,god,full_reversal
988,pool,loop,full_reversal
989,draewr,drawer,internal_reversal
990,saw,was,full_reversal
991,saw,was,full_reversal
992,pool,loop,full_reversal
993,pest,pets,internal_reversal
994,pets,step,full_reversal
